pdf_path	top_candidates(fid|name|score)
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Andrew/DS LbcA-CtpA_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Andrew/Huilin LbcA-CtpA complex_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Andrew/JB00169-25R1 in press_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Andrew/MW PA3978_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Heran/2017 Zhang mBio_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Heran/2020 Becker Ruc mBio_anonymous.pdf	micro_k_heran_darwin|K. Heran Darwin, PhD|17; micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Heran/2022 Yoo JBC_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Heran/2023 Limón mBio_anonymous.pdf	micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_k_heran_darwin|K. Heran Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Microbiology/Darwin, Heran/2024 Kahne CoaX PNAS_anonymous.pdf	micro_k_heran_darwin|K. Heran Darwin, PhD|17; micro_andrew_j_darwin|Andrew J. Darwin, PhD|15; micro_joel_g_belasco|Joel G. Belasco, PhD|3; micro_ralf_duerr|Ralf Duerr, MD, PhD|3; micro_michael_j_garabedian|Michael J. Garabedian, PhD|3
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Hammel, Molly Gale/2015_Jin_TEtranscripts_anonymous.pdf	intake_ran_brosh|Ran Brosh|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Hammel, Molly Gale/2019_Tam_Review_TransposonsNeurodegeneration_anonymous.pdf	intake_jonathan_so|Jonathan So|8; intake_ran_brosh|Ran Brosh|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Hammel, Molly Gale/2025.Jakobsson_Transposons_PD_Interferon_anonymous.pdf	intake_jonathan_so|Jonathan So|8; micro_k_heran_darwin|K. Heran Darwin, PhD|2; intake_ran_brosh|Ran Brosh|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Placantonakis, Dimitris/Biorxiv main text and figures_anonymous.pdf	intake_dimitris_placantonakis|Dimitris Placantonakis|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Placantonakis, Dimitris/Boess et al 2023_anonymous.pdf	intake_dimitris_placantonakis|Dimitris Placantonakis|12; micro_bo_shopsin|Bo Shopsin, MD, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Placantonakis, Dimitris/Frenster et al 2023_anonymous.pdf	intake_dimitris_placantonakis|Dimitris Placantonakis|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Placantonakis, Dimitris/Stephan et al 2024_anonymous.pdf	intake_dimitris_placantonakis|Dimitris Placantonakis|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Placantonakis, Dimitris/hattori-et-al-2025-engineering-antibody-drug-_anonymous.pdf	intake_dimitris_placantonakis|Dimitris Placantonakis|12; micro_bo_shopsin|Bo Shopsin, MD, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/So, Jonathan/Comprehensive human cell-type methylation atl_anonymous.pdf	intake_jonathan_so|Jonathan So|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/So, Jonathan/Radiotherapy and immunology-review Weichselba_anonymous.pdf	intake_jonathan_so|Jonathan So|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/So, Jonathan/VRK1 as a synthetic lethal target in VRK2 pro_anonymous.pdf	intake_jonathan_so|Jonathan So|12; micro_k_heran_darwin|K. Heran Darwin, PhD|2
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/ORGANOID Faculty/Wisniewski, Thomas/Lewy Path Organoids Brain TW 2025_anonymous.pdf	intake_thomas_wisniewski|Thomas Wisniewski|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Ophthalmology/Chakravarti, Shukti/Ashworth_Ocular Surface 2024_anonymous.pdf	intake_aravinda_chakravarti|Aravinda Chakravarti|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Ophthalmology/Chakravarti, Shukti/Foster2017_anonymous.pdf	intake_aravinda_chakravarti|Aravinda Chakravarti|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Ophthalmology/Chakravarti, Shukti/Maiti2021_anonymous.pdf	intake_aravinda_chakravarti|Aravinda Chakravarti|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Ophthalmology/Chakravarti, Shukti/Maiti_2025_anonymous.pdf	intake_aravinda_chakravarti|Aravinda Chakravarti|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Ophthalmology/Chakravarti, Shukti/Maiti_pnasnexus2022_anonymous.pdf	intake_aravinda_chakravarti|Aravinda Chakravarti|12
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Pop Health/Ellicott, Matthay/Matthay_2017_In-State and Interstate Associat_anonymous.pdf	intake_jonathan_so|Jonathan So|8
/Users/tenoeb01/Desktop/Galaxy Files/pubs_inbox/Pop Health/Ellicott, Matthay/matthay_2025_Interactive associations of cann_anonymous.pdf	intake_jonathan_so|Jonathan So|8
